"Epic","ID","Rol","Historia","Reglas de negocio","Estado","Trazabilidad","Tests","Notas"
"PRECIOS Y TARIFAS","HU-011","Admin","Como administrador quiero gestionar el catálogo base de tarifas para aplicarlas a servicios, tours y vehículos","• Cada tarifa: name, percentage (0-100%), color, active, exists
• Markup/descuento sobre precios base
• valid_until=null indica vigente
• Soft delete (exists=false) preserva historial
• Escritura: Admin (nivel 6+)","✅ En producción","RateController.getRates/createRate/updateRate/toggleStatus/deleteRate · GET/POST/PUT/DELETE /api/rates · src/domain/models/Rate.js","tests/integration/api/services-rate-filter.test.js","Verificado con test"
"PRECIOS Y TARIFAS","HU-012","Admin","Como administrador quiero gestionar precios base de servicios por tarifa, POI origen/destino y tipo de vehículo","• RatePrices = (rate + service + originPOI + destinationPOI + vehicleType) → precio
• Unique (ratePtr, tourPtr, vehicleType)
• active/exists = ciclo de vida","✅ En producción","src/domain/models/RatePrices.js","tests/integration/seeds/rateprices-seed.test.js","Verificado con test (621 registros seed)"
"PRECIOS Y TARIFAS","HU-013","Admin","Como administrador quiero gestionar precios específicos de tour por tarifa y tipo de vehículo","• TourPrices = (ratePtr + tourPtr + vehicleType) → precio
• currency default MXN
• valid_until=null vigente; update versiona con valid_until=hoy","✅ En producción","src/domain/models/TourPrices.js · GET /api/tour-prices · GET /api/tour-prices/by-tour/:tourId","tests/integration/api/vehicles-with-rates.test.js","Verificado con test"
"PRECIOS Y TARIFAS","HU-014","Admin","Como administrador quiero gestionar precios personalizados por cliente que sobrescriban el tarifario base","• ClientPrices = (clientPtr + ratePtr + vehiclePtr + itemType + itemId) → precio
• itemType: SERVICES/TOURS/EXPERIENCES
• Precio cliente tiene prioridad sobre tarifario base
• Versionado: valid_until=null activo; update cierra con hoy 23:59:59","✅ En producción","ClientPrices.saveClientPrices (src/domain/models/ClientPrices.js) · GET /api/client-prices · GET /api/client-prices/by-tour/:tourId","tests/integration/seeds/clientprices-seed.test.js","Verificado con test"
"PRECIOS Y TARIFAS","HU-015","Admin","Como administrador quiero gestionar precios de vehículo por tarifa con historial completo","• VehicleRatePrices = (rateId + vehicleTypeId) → precio con valid_from/until
• getCurrentPrice (sin valid_until)
• getPriceAtDate (válido para fecha)
• createNewPrice cierra actual y crea nuevo
• Audit: created_by, reason_for_change","✅ En producción","src/domain/models/VehicleRatePrices.js · GET /api/vehicle-rate-prices/current|by-rate|at-date|history · POST /api/vehicle-rate-prices/update|bulk-update","tests/integration/api/vehicles-with-rates.test.js","Verificado con test"
"PRECIOS Y TARIFAS","HU-016","Admin","Como administrador quiero gestionar precios por hora para A-Disposición (renta por hora) por vehículo","• DisposablePrices = (vehicleType + rate) → hourlyPrice versionado
• currency default MXN
• effectiveDate/endDate (null=vigente)
• isCurrentlyEffective
• Descuentos por volumen según horas/vehículos","✅ En producción","src/domain/models/DisposablePrices.js · GET /api/disposable-prices · /by-vehicle-type · /vehicle/:id · /history/:id · PUT /api/disposable-prices/batch-update","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-017","Admin","Como administrador quiero gestionar el tipo de cambio USD→MXN para conversión de precios","• ExchangeRate.value (ej. 18.50)
• getCurrentExchangeRate: active+exists, más reciente
• getCurrentValue con fallback 18.5
• Crear nuevo desactiva el anterior (historial)
• Lectura nivel 2+; escritura nivel 6+","✅ En producción","ExchangeRateController.getCurrent/getHistory/create · GET /api/exchange-rate/current|history · POST /api/exchange-rate · src/domain/models/ExchangeRate.js","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-018","Admin","Como administrador quiero gestionar el porcentaje de inflación para ajuste de precios","• InflationRate.value (% ej. 3.5)
• getCurrentInflationRate: active+exists
• Crear nuevo desactiva el anterior
• Historial con createdBy/description
• Solo Admin (6+)","✅ En producción","InflationRateController.getCurrent/getHistory/create · GET /api/inflation-rate/current|history · POST /api/inflation-rate · src/domain/models/InflationRate.js","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-019","Admin","Como administrador quiero gestionar el porcentaje de comisión de agencia para el cálculo de costos","• AgencyRate.value (% ej. 10)
• getCurrentAgencyRate: active+exists
• costo total = precio × (1 + agencyRate%)
• Crear nuevo desactiva el anterior
• Lectura 2+; escritura 6+","✅ En producción","AgencyRateController.getCurrent/getHistory/create · GET /api/agency-rate/current|history · POST /api/agency-rate · src/domain/models/AgencyRate.js","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-020","Admin","Como administrador quiero gestionar la comisión de transferencia para el cobro de pagos","• TransferRate.value (% 0.01–50.00) con validación de rango
• getCurrentTransferRate: active+exists
• Crear nuevo desactiva el anterior
• createdBy + description (razón)","✅ En producción","TransferRateController.getCurrent/getHistory/create · GET /api/transfer-rate/current|history · POST /api/transfer-rate · src/domain/models/TransferRate.js","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-021","Admin","Como administrador quiero gestionar la tarifa de pago al conductor por tour","• DriverTourRate.value
• getCurrentDriverTourRate: active+exists
• Crear nuevo desactiva el anterior
• Historial createdBy/description
• Lectura 2+; escritura 6+","✅ En producción","DriverTourRateController.getCurrent/getHistory/create · GET /api/driver-tour-rate/current|history · POST /api/driver-tour-rate · src/domain/models/DriverTourRate.js","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-022","Admin","Como administrador quiero gestionar la tarifa de transporte del guía turístico","• GuideTransportRate.value
• getCurrentGuideTransportRate: active+exists, auto-creación fallback
• Crear nuevo desactiva el anterior
• Historial createdBy","✅ En producción","GuideTransportRateController.getCurrent/getHistory/create · GET /api/guide-transport-rate/current|history · POST /api/guide-transport-rate · src/domain/models/GuideTransportRate.js","","La hoja pide revisar la fórmula de greeter/guía"
"PRECIOS Y TARIFAS","HU-023","Admin","Como administrador quiero gestionar la tarifa de recibimiento (greeter) con fórmula y simulación","• GreeterRate.value + configuración de fórmula y simulación
• getCurrentGreeterRate: active+exists, auto-creación fallback
• Crear nuevo desactiva el anterior","✅ En producción","GreeterRateController.getCurrent/getHistory/create · GET /api/greeter-rate/current|history · POST /api/greeter-rate · src/domain/models/GreeterRate.js","","La hoja pide revisar la fórmula de greeter/guía"
"PRECIOS Y TARIFAS","HU-024","Admin","Como administrador quiero gestionar ajustes manuales de precio para overrides puntuales","• PriceAdjustments.type: exchange_rate/inflation/agency/transfer
• Cada tipo con historial y ""current"" (active=true)
• Crear nuevo desactiva el anterior
• value + currency (MXN/USD/EUR) + effectiveDate + note
• Solo Admin (6+)","✅ En producción","PriceAdjustmentsController.getAllCurrent/getHistory/getCurrentAdjustment/createAdjustment · GET/POST /api/price-adjustments/:type · src/domain/models/PriceAdjustments.js","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-025","Admin","Como administrador quiero aplicar markup masivo a los precios de un cliente para actualizar tarifas en bloque","• bulkApplyPricing(client, markup%) cierra activos (until=hoy) y crea nuevos = basePrice × (1+markup/100)
• Variante con progreso por processId (polling)
• Audit: createdBy/lastModifiedBy
• Solo Admin (6+)","✅ En producción","ClientPricesController.bulkApplyPricing/applyServicesPricing/getProgressUpdates · POST /api/client-prices/bulk-apply · /bulk-apply-with-progress · GET /api/client-prices/pricing-progress/:processId","","Estado sugerido — confirmar (sin test)"
"PRECIOS Y TARIFAS","HU-026","Sistema","Como sistema quiero aplicar tipo de cambio, inflación y comisiones en el cálculo del precio final","• Orden: exchange → inflation → agency/transfer
• USD→MXN = precio × getCurrentValue()
• inflación: base × (1+rate/100)
• agencia: total × (1+agencyRate/100)
• Redondeo a 2 decimales (Math.round(x*100)/100)
• Currencies MXN(default)/USD/EUR","✅ En producción","ExchangeRate.getCurrentValue · InflationRate.getValue · AgencyRate.getValue · TransferRate.getValue · ClientPrices.getFormattedPrice (Intl.NumberFormat)","","La hoja reporta ""arreglar cálculo de dólares al cambiar moneda"" — verificar"
"RESERVACIÓN","HU-027","Admin","Como administrador quiero listar todas las reservaciones con filtros por estado, fecha y búsqueda","• Paginación DataTables (draw/start/length)
• Filtros: status, periodo (upcoming/ongoing/past), año/mes/día
• Búsqueda por folio, cliente, eventType
• Roles: admin/superadmin ven todas; gerente su depto; cliente su organización","✅ En producción","ReservationController.getReservations · GET /api/reservations","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-028","Agente","Como agente quiero ver el detalle completo de una reservación para revisar servicios, asignaciones y totales","• Retorna Quote, cliente, ReservationService[] y asignaciones
• Total = subtotal servicios + cargos − descuentos (2 decimales)
• Snapshots preservan datos si el cliente no está disponible","✅ En producción","ReservationController.getReservationById · GET /api/reservations/:id","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-029","Gerente","Como gerente de operaciones quiero asignar chofer, guía, greeter y vehículo a un servicio","• Params: driverId, guideId, greeterId, vehicleId, serviceCustomerId, extraAssignments
• Auto-transición pending → assigned al asignar chofer
• extraAssignments permite múltiples vehículos por servicio","✅ En producción","ReservationController.assignEmployee · PUT /api/reservations/:id/services/:serviceId/assign","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-030","Admin","Como administrador quiero asignar empleados a múltiples servicios en lote","• Array [{serviceId, driverId, …}]
• Aplica las reglas de asignación individual a cada uno
• Registra la cantidad procesada","✅ En producción","ReservationController.batchAssignEmployees · PUT /api/reservations/:id/services/batch-assign","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-031","Gerente","Como jefe de operaciones quiero asignar un responsable de seguimiento a nivel reservación","• serviceCustomerId (AmexingUser); se quita si se omite
• Esa persona recibe notificaciones de progreso
• Rol: gerente+","✅ En producción","ReservationController.assignServiceCustomer · PUT /api/reservations/:id/service-customer","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-032","Admin","Como administrador quiero actualizar el estado de cada servicio de la reservación","• Estados válidos: pending/assigned/completed/cancelled
• Rechaza valor inválido (400)
• Log userId + timestamp
• Soft-delete preserva auditoría","✅ En producción","ReservationController.updateServiceStatus · PATCH /api/reservations/:id/services/:serviceId/status","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-033","Admin","Como administrador quiero agregar cargos o descuentos para ajustar el precio final","• Type charge|discount
• Valida amount>0 o percentage 0-100
• Total = subtotal + cargos − descuentos (2 decimales)
• Solo admin/superadmin, con auditoría","✅ En producción","ReservationController.addAdjustment · POST /api/reservations/:id/adjustments","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-034","Admin","Como administrador quiero remover un cargo/descuento aplicado","• Valida pertenencia
• Recalcula el total
• Solo admin/superadmin
• Log de la eliminación","✅ En producción","ReservationController.removeAdjustment · DELETE /api/reservations/:id/adjustments/:adjustmentId","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-035","Gerente","Como gerente quiero ver la reservación en formato público por folio para compartirla","• GET por folio sin autenticación
• Formato: cliente, servicios[], precios con IVA
• Snapshots preservan datos","✅ En producción","PublicReservationController.getPublicReservation · GET /public/reservations/:folio","","Estado sugerido — confirmar"
"RESERVACIÓN","HU-036","Cliente","Como cliente quiero exportar la reservación a PDF para archivarla","• PDF vía Chrome headless (puppeteer) desde la URL pública
• Formato carta, márgenes 10mm
• Incluye logo, cliente, servicios, precios
• URLs S3 prefirmadas; timeout 45s","✅ En producción","PdfRenderService.renderUrlToPdf","","Estado sugerido — confirmar"
"RESERVACIÓN","HU-037","Agente","Como agente quiero cancelar una reservación con motivo documentado","• reason requerido
• Estado → cancelled
• Guarda motivo + timestamp
• Rol gerente+; soft-delete","✅ En producción","ReservationController.cancelReservation · POST /api/reservations/:id/cancel","tests/integration/api/reservations.test.js","Verificado con test"
"RESERVACIÓN","HU-038","Sistema","Como sistema quiero vincular cada reservación con su cotización origen","• Reservation.quotePtr → Quote
• Se crea al confirmar (Agendado) copiando numberOfPeople, eventType, fechas, nombres de huésped y notas
• Snapshot de subconcepts como fallback","✅ En producción","Reservation.js / ReservationService.js","tests/integration/api/reservations.test.js","Verificado con test"
"VEHÍCULOS Y FLOTA","HU-039","Admin","Como administrador quiero crear un vehículo para agregar inventario a la flota","• Requeridos: brand, model, year, licensePlate, vehicleTypeId, capacity, color, maintenanceStatus
• licensePlate único (case-insensitive); VIN opcional pero único (17 chars, sin I/O/Q)
• year 1990–próximo; capacity 1-100
• maintenanceStatus: operational/maintenance/repair/out_of_service
• Rate opcional solo si está activa","✅ En producción","VehicleController.createVehicle · POST /api/vehicles","","Estado sugerido — confirmar"
"VEHÍCULOS Y FLOTA","HU-040","Admin","Como administrador quiero editar los atributos de un vehículo","• Actualiza marca/modelo/año/placa/VIN/tipo/rate/capacidad/maletas/color/maintenanceStatus/insuranceExpiry/active
• Revalida unicidad de placa/VIN
• Verifica que VehicleType exista y Rate esté activa
• insuranceExpiry normalizado a fin de día UTC","✅ En producción","VehicleController.updateVehicle · PUT /api/vehicles/:id","","Estado sugerido — confirmar"
"VEHÍCULOS Y FLOTA","HU-041","Admin","Como administrador quiero listar vehículos con filtro y paginación para gestionar la flota","• DataTables server-side (búsqueda marca/modelo/placa, orden)
• Filtro por rateId
• Solo exists=true
• Incluye VehicleType e imagen principal (batch para evitar N+1)
• URLs S3 prefirmadas con prioridad optimizadas>original>legacy","✅ En producción","VehicleController.getVehicles · GET /api/vehicles","tests/integration/api/vehicle-filtering.test.js","Verificado con test"
"VEHÍCULOS Y FLOTA","HU-042","Admin","Como administrador quiero ver el detalle de un vehículo para editarlo","• Todos los campos + VehicleType + imagen principal
• insuranceExpiry como YYYY-MM-DD
• Fallback de imagen: optimizadas>originalS3>Parse.File>url legacy","✅ En producción","VehicleController.getVehicleById · GET /api/vehicles/:id","","Estado sugerido — confirmar"
"VEHÍCULOS Y FLOTA","HU-043","Admin","Como administrador quiero eliminar un vehículo del sistema","• Soft delete (exists=false, active=false) preserva auditoría
• Log de quién y cuándo","🟡 En progreso","VehicleController.deleteVehicle · DELETE /api/vehicles/:id","","TODO en código: validar que el vehículo no tenga traslados/bookings activos antes de eliminar"
"VEHÍCULOS Y FLOTA","HU-044","Admin","Como administrador quiero gestionar tipos de vehículo para clasificar la flota","• CRUD + toggle activo
• name y code requeridos; code único, lowercase, [a-z0-9_-]
• defaultCapacity 1-100, trunkCapacity 0-50, sortOrder≥0, icon Tabler
• Soft-delete valida que ningún vehículo use el tipo
• Seeding: Sedan/SUV/Van/Bus/Limousine","✅ En producción","VehicleTypeController (CRUD/toggleVehicleTypeStatus) · /api/vehicle-types","tests/unit/controllers/api/VehicleTypeController.test.js","Verificado con test"
"VEHÍCULOS Y FLOTA","HU-045","Admin","Como administrador quiero obtener los tipos de vehículo activos para formularios y dropdowns","• Solo active=true
• Formato {value,label,code,capacity,trunkCapacity,icon} ordenado por sortOrder
• Requiere solo autenticación básica","✅ En producción","VehicleTypeController.getActiveVehicleTypes · GET /api/vehicle-types/active","","Estado sugerido — confirmar"
"VEHÍCULOS Y FLOTA","HU-046","Admin","Como administrador quiero subir imágenes de vehículos a S3 y gestionar la galería","• Upload multipart (JPEG/PNG/WEBP, máx 250MB)
• Optimización server-side a AVIF/WebP/JPEG
• Almacena en S3 (s3Key/bucket/region/variants)
• Primera imagen = principal
• Batch hasta 10 archivos","✅ En producción","VehicleImageController.uploadImage/listImages · POST /api/vehicles/:id/images","tests/integration/api/vehicle-images-s3.test.js","Test marcado skip (requiere AWS real)"
"VEHÍCULOS Y FLOTA","HU-047","Admin","Como administrador quiero ordenar y administrar la galería de imágenes de un vehículo","• Reordenar displayOrder
• Marcar imagen principal
• Soft-delete de imágenes
• Listado ordenado con URLs prefirmadas (default 24h)","✅ En producción","VehicleImageController.reorderImages/setPrimary/deleteImage · PATCH/DELETE /api/vehicles/:id/images/*","tests/integration/api/vehicle-images-s3.test.js","Test marcado skip (requiere AWS real)"
"TOURS Y EXPERIENCIAS","HU-048","Admin","Como administrador quiero CRUD de tours para gestionar el catálogo","• Tour: destinationPOI, time (min), vehicleType, rate
• Disponibilidad en formato legacy (availableDays/startTime/endTime) y nuevo (availability[] por día)
• Disponibilidad opcional pero completa si se da; se ordena cronológicamente
• isWalkingTour vs vehículo; flags active/exists","🟡 En progreso","ToursController.createTour/updateTour/getTours/deleteTour · /api/tours","tests/integration/api/tours-availability.test.js","Test skip: migración de formato de disponibilidad legacy→nuevo pendiente"
"TOURS Y EXPERIENCIAS","HU-049","Admin","Como administrador quiero subir y gestionar galerías de imágenes de tours","• Multi-formato AVIF/WebP/JPEG con calidad por formato
• 4 tamaños responsivos (thumb/mobile/desktop/original)
• S3 vía FileStorageService
• Soft-delete de imágenes","✅ En producción","TourImageController.uploadImage/deleteImage · POST/DELETE /api/tours/:id/images","","Estado sugerido — confirmar"
"TOURS Y EXPERIENCIAS","HU-050","Admin","Como administrador quiero CRUD de experiencias (paquetes) para armar productos","• Experience puede contener experiencias (experiences[]) y tours (tours[]) formando paquetes
• Tipo Experience o Provider
• cost≥0; soporta includedExperiences y subconcepts/iva/total
• flags active/exists","✅ En producción","ExperienceController.createExperience/updateExperience/getExperiences · /api/experiences","tests/unit/controllers/api/ExperienceController.test.js","Verificado con test"
"TOURS Y EXPERIENCIAS","HU-051","Admin","Como administrador quiero validar dependencias antes de desactivar/eliminar una experiencia","• Impide eliminar si está incluida en otra experiencia
• Devuelve la lista de experiencias dependientes","✅ En producción","ExperienceController.checkDependencies · GET /api/experiences/:id/dependencies","","Estado sugerido — confirmar"
"TOURS Y EXPERIENCIAS","HU-052","Admin","Como administrador quiero subir y gestionar galerías de imágenes de experiencias","• Mismo procesamiento que tours (AVIF/WebP/JPEG multi-tamaño)
• Secuencia/orden de imágenes
• Soft-delete","✅ En producción","ExperienceImageController.uploadImage/deleteImage · POST/DELETE /api/experiences/:id/images","tests/unit/controllers/api/ExperienceImageController.test.js","Test marcado skip — validar funcionalidad"
"TOURS Y EXPERIENCIAS","HU-053","Admin","Como administrador quiero gestionar experiencias de proveedores específicos","• ProviderExperiencia scoped a un proveedor
• Reordenamiento dentro del proveedor
• flags active/exists","✅ En producción","ProviderExperienciaController.create/update/delete/reorder · /api/providers/:providerId/experiencias","","Estado sugerido — confirmar"
"TOURS Y EXPERIENCIAS","HU-054","Admin","Como administrador quiero filtrar tours por tipo (walking vs vehículo) en los listados","• isWalkingTour distingue tipo
• ?tourType=walking|vehicle filtra
• DataTables con búsqueda y orden","✅ En producción","ToursController.getTours · GET /api/tours?tourType=","tests/integration/api/tours-availability.test.js","Estado sugerido — confirmar"
"TOURS Y EXPERIENCIAS","HU-055","Admin","Como administrador quiero activar/desactivar un tour sin eliminarlo","• toggle-status con {active}
• Distingue active=false (inactivo visible) de exists=false (soft-delete)","✅ En producción","ToursController.toggleTourStatus · PATCH /api/tours/:id/toggle-status","","Estado sugerido — confirmar"
"TOURS Y EXPERIENCIAS","HU-056","Admin","Como administrador quiero ver el nombre de destino formateado de un tour","• Display = nombre del POI destino + duración en horas (1 decimal), ej. 'Centro Histórico | 2.5h'","✅ En producción","Tour.getDisplayName","","Estado sugerido — confirmar"
"SERVICIOS Y POIs","HU-057","Admin","Como administrador quiero gestionar el catálogo de POIs (puntos de interés) para definir orígenes/destinos","• POI con nombre único (case-insensitive) y tipo de servicio
• Nombre 1-280 chars
• Ciclo de vida active/exists (oculto preserva históricos; soft-delete)
• Query incluye serviceType","✅ En producción","POIController (CRUD/toggle) · /api/pois · /api/pois/active","tests/integration/seed-system.test.js","Verificado con seed test"
"SERVICIOS Y POIs","HU-058","Admin","Como administrador quiero definir tipos de servicio de transporte para clasificar traslados","• ServiceType con nombre único (máx 280)
• Tipos predefinidos protegidos (Aeropuerto, Punto a Punto, Local, Tours) no se pueden eliminar
• Ciclo de vida active/exists","✅ En producción","ServiceTypeController (CRUD/toggle) · /api/service-types · /api/service-types/active","tests/integration/seed-system.test.js","Verificado con seed test"
"SERVICIOS Y POIs","HU-059","Admin","Como administrador quiero crear rutas de transporte (origen→destino + tipo de vehículo)","• Servicio = origin POI (opcional en aeropuerto/local) + destination POI (requerido) + vehicleType + rate
• origin≠destination cuando ambos existen
• Precio manual o 'pendiente' si no hay match de tarifa
• routeDuration (min)
• soft-delete","✅ En producción","ServicesController.createService/updateService · POST/PUT /api/services-new","tests/integration/seed-system.test.js","Verificado con seed test"
"SERVICIOS Y POIs","HU-060","Agente","Como agente quiero ver los servicios activos en un dropdown para seleccionarlos rápido al cotizar","• /api/services/active devuelve {value,label} simplificado
• Solo active=true,exists=true
• Incluye origin/destination POI, rate, vehicleType","✅ En producción","ServicesController.getActiveServices · GET /api/services/active","","Estado sugerido — confirmar"
"SERVICIOS Y POIs","HU-061","Gerente","Como gerente quiero consultar el precio de traslado por ruta (origen+destino+segmento) con override de cliente","• prices-by-route por originPOI+destinationPOI+rateId(+clientId) devuelve vehículos con precio base y override de cliente
• Fallback a cualquier rate disponible si no hay match exacto
• clientPricesMap busca `${rateId}_${vehicleTypeId}` en ClientPrices
• Prioridad: precio de cliente > tarifario base","🟡 En progreso","ServicesController.getPricesByRoute/getServiceVehicleTypeAndPrice · GET /api/services/prices-by-route","","Feature de autopoblado de precio de transporte (en desarrollo)"
"SERVICIOS Y POIs","HU-062","Gerente","Como gerente quiero ver todas las tarifas (categorías) de un servicio","• all-rate-prices devuelve la estructura de precios para todas las rates activas (vehicleType+rate+price)
• Variante con override de cliente por clientId","🟡 En progreso","ServicesController.getAllRatePricesForService · GET /api/services/:id/all-rate-prices(-with-client-prices)","","Estado sugerido — confirmar"
"SERVICIOS Y POIs","HU-063","Admin","Como administrador quiero activar/desactivar servicios para ocultar rutas sin perder histórico","• toggle-status alterna active manteniendo exists=true
• Audit log: userId, estado previo/nuevo, motivo","✅ En producción","ServicesController.toggleServiceStatus · PATCH /api/services-new/:id/toggle-status","","Estado sugerido — confirmar"
"SERVICIOS Y POIs","HU-064","Admin","Como administrador quiero buscar/filtrar servicios de aeropuerto para gestionar transferencias aeroportuarias","• filterAeropuerto=true: obtiene ServiceType Aeropuerto → POIs de ese tipo → OR (origin∨destination) en Services
• includeInactive=true muestra activos+inactivos
• Búsqueda en nombres de POI, rate y nota","✅ En producción","ServicesController.getServices/createBaseQuery · GET /api/services?filterAeropuerto=true","","Estado sugerido — confirmar"
"SERVICIOS Y POIs","HU-065","Chofer","Como transportista quiero ver la duración estimada de la ruta para planear itinerarios","• routeDuration en minutos
• set/getRouteDuration
• Retornado en getServices","🟡 En progreso","Services.getRouteDuration/setRouteDuration","","Estado sugerido — confirmar"
"SERVICIOS Y POIs","HU-066","Admin","Como administrador quiero registrar notas en un servicio para documentar restricciones/detalles","• Campo note en el servicio
• set/getNote
• Incluido en getServices","✅ En producción","Services.getNote/setNote","","Estado sugerido — confirmar"
"CLIENTES Y AGENCIAS","HU-067","Admin","Como administrador quiero crear un cliente directo de Amexing para gestionar la cartera propia","• clientBelongsTo='amexing' distingue directos de agencias
• Creación rápida con email autogenerado
• Asigna rol department_manager automáticamente
• Solo Admin/SuperAdmin","✅ En producción","ClientsController.createQuickDirectClient · POST /api/clients/amexing-direct/quick","tests/unit/controllers/api/ClientsController.test.js","Verificado con test"
"CLIENTES Y AGENCIAS","HU-068","Admin","Como administrador quiero ver agencias y clientes directos en una vista unificada","• /api/clients/mixed combina agencias (AmexingUser role=department_manager) + directos (Client clientBelongsTo='amexing')
• Solo active=true,exists=true
• Búsqueda por nombre (regex) + paginación","✅ En producción","ClientsController.getMixedClients · GET /api/clients/mixed","tests/unit/controllers/api/ClientsController.test.js","Verificado con test"
